Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name,Group,Major Name,Minor Name,Broad Name,Description,Sample of reported job titles
11-0000.00,11-2000.00,11-2000.00,11-2000.00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Main,Management Occupations,Minor Group,Minor Group,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers are responsible for planning, directing, and coordinating the marketing and sales efforts of organizations. They oversee advertising campaigns, promotional activities, public relations strategies, and sales operations to help organizations achieve their marketing and sales objectives.",
11-0000.00,11-2000.00,11-2010.00,11-2010.00,Advertising and Promotions Managers,Titled,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Broad Group,"Plan and direct advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",
11-0000.00,11-2000.00,11-2010.00,11-2011.00,Advertising and Promotions Managers,Role,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Advertising and Promotions Managers,"Plan and direct advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",
11-0000.00,11-2000.00,11-2010.00,11-2011.01,Green Marketers,Role,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Advertising and Promotions Managers,Create and implement methods to market green products and services.,
11-0000.00,11-2000.00,11-2020.00,11-2020.00,Marketing and Sales Managers,Titled,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Broad Group,"SOC Code 11-2020 - Marketing and Sales Managers is a Broad Occupation level code of the “Management Occupations” Major Occupation Category. There are 666,280 total employees classified in this occupation in the USA, with an average Hourly Wage of $69.55 and average Annual Wage of $144,660.",
11-0000.00,11-2000.00,11-2020.00,11-2021.00,Marketing Managers,Role,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Marketing and Sales Managers,Determine the demand for products and services offered by a firm and its competitors and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.,
11-0000.00,11-2000.00,11-2020.00,11-2022.00,Sales Managers,Role,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Marketing and Sales Managers,"Direct the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",
11-0000.00,11-2000.00,11-2030.00,11-2030.00,Public Relations and Fundraising Managers,Titled,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Broad Group,"Plan and direct public relations programs designed to create and maintain a favorable public image for employer or client; or if engaged in fundraising, plan and direct activities to solicit and maintain funds for special projects and nonprofit organizations.",
11-0000.00,11-2000.00,11-2030.00,11-2031.00,Public Relations and Fundraising Managers,Role,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Public Relations and Fundraising Managers,"Plan and direct public relations programs designed to create and maintain a favorable public image for employer or client; or if engaged in fundraising, plan and direct activities to solicit and maintain funds for special projects and nonprofit organizations.",
11-0000.00,11-2000.00,11-2030.00,11-2032.00,Public Relations Managers,Role,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Public Relations and Fundraising Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",
11-0000.00,11-2000.00,11-2030.00,11-2033.00,Fundraising Managers,Role,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Public Relations and Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",
11-0000.00,11-3000.00,11-3000.00,11-3000.00,Operations Specialties Managers,Main,Management Occupations,Minor Group,Minor Group,"Operations Specialties Managers are responsible for planning, coordinating, and directing the operations of specific functional areas within an organization. They oversee various operational activities to ensure efficient and effective processes, productivity, and quality.",
11-0000.00,11-3000.00,11-3010.00,11-3010.00,Administrative Services Managers,Titled,Management Occupations,Operations Specialties Managers,Broad Group,"Plan, direct, or coordinate supportive services of an organization, such as recordkeeping, mail distribution, telephone operator/receptionist, and other office support services. May oversee facilities planning and maintenance and custodial operations.",
11-0000.00,11-3000.00,11-3010.00,11-3011.00,Administrative Services Managers,Role,Management Occupations,Operations Specialties Managers,Administrative Services Managers,"Plan, direct, or coordinate supportive services of an organization, such as recordkeeping, mail distribution, telephone operator/receptionist, and other office support services. May oversee facilities planning and maintenance and custodial operations.",
11-0000.00,11-3000.00,11-3010.00,11-3012.00,Administrative Services Managers,Role,Management Occupations,Operations Specialties Managers,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",
11-0000.00,11-3000.00,11-3010.00,11-3013.00,Facilities Managers,Role,Management Occupations,Operations Specialties Managers,Administrative Services Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",
11-0000.00,11-3000.00,11-3010.00,11-3013.01,Security Managers,Role,Management Occupations,Operations Specialties Managers,Administrative Services Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.",
11-0000.00,11-3000.00,11-3020.00,11-3020.00,Computer and Information Systems Managers,Titled,Management Occupations,Operations Specialties Managers,Broad Group,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",
11-0000.00,11-3000.00,11-3020.00,11-3021.00,Computer and Information Systems Managers,Role,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",
11-0000.00,11-3000.00,11-3030.00,11-3030.00,Financial Managers,Titled,Management Occupations,Operations Specialties Managers,Broad Group,"Plan, direct, and coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",
11-0000.00,11-3000.00,11-3030.00,11-3031.00,Financial Managers,Role,Management Occupations,Operations Specialties Managers,Financial Managers,"Plan, direct, and coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",
11-0000.00,11-3000.00,11-3030.00,11-3031.01,Treasurers and Controllers,Role,Management Occupations,Operations Specialties Managers,Financial Managers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",
11-0000.00,11-3000.00,11-3030.00,11-3031.02,"Financial Managers, Branch or Department",Role,Management Occupations,Operations Specialties Managers,Financial Managers,"Direct and coordinate financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.",
11-0000.00,11-3000.00,11-3050.00,11-3050.00,Industrial Production Managers,Titled,Management Occupations,Operations Specialties Managers,Broad Group,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",
11-0000.00,11-3000.00,11-3050.00,11-3051.00,Industrial Production Managers,Role,Management Occupations,Operations Specialties Managers,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",
11-0000.00,11-3000.00,11-3050.00,11-3051.01,Quality Control Systems Managers,Role,Management Occupations,Operations Specialties Managers,Industrial Production Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",
11-0000.00,11-3000.00,11-3050.00,11-3051.02,Geothermal Production Managers,Role,Management Occupations,Operations Specialties Managers,Industrial Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,
11-0000.00,11-3000.00,11-3050.00,11-3051.03,Biofuels Production Managers,Role,Management Occupations,Operations Specialties Managers,Industrial Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",
11-0000.00,11-3000.00,11-3050.00,11-3051.04,Biomass Power Plant Managers,Role,Management Occupations,Operations Specialties Managers,Industrial Production Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",
11-0000.00,11-3000.00,11-3050.00,11-3051.05,Methane/Landfill Gas Collection System Operators,Role,Management Occupations,Operations Specialties Managers,Industrial Production Managers,"Direct daily operations, maintenance, or repair of landfill gas projects, including maintenance of daily logs, determination of service priorities, and compliance with reporting requirements.",
11-0000.00,11-3000.00,11-3050.00,11-3051.06,Hydroelectric Production Managers,Role,Management Occupations,Operations Specialties Managers,Industrial Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,
11-0000.00,11-3000.00,11-3060.00,11-3060.00,Purchasing Managers,Titled,Management Occupations,Operations Specialties Managers,Broad Group,"Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with governmental policies and regulations.",
11-0000.00,11-3000.00,11-3060.00,11-3061.00,Purchasing Managers,Role,Management Occupations,Operations Specialties Managers,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services.",
11-0000.00,11-3000.00,11-3070.00,11-3070.00,"Transportation, Storage, and Distribution Managers",Titled,Management Occupations,Operations Specialties Managers,Broad Group,"Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with governmental policies and regulations.",
11-0000.00,11-3000.00,11-3070.00,11-3071.00,"Transportation, Storage, and Distribution Managers",Role,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with governmental policies and regulations.",
11-0000.00,11-3000.00,11-3070.00,11-3071.01,Transportation Managers,Role,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate the transportation operations within an organization or the activities of organizations that provide transportation services.",
11-0000.00,11-3000.00,11-3070.00,11-3071.02,Storage and Distribution Managers,Role,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate the storage or distribution operations within an organization or the activities of organizations that are engaged in storing or distributing materials or products.",
11-0000.00,11-3000.00,11-3070.00,11-3071.03,Logistics Managers,Role,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate purchasing, warehousing, distribution, forecasting, customer service, or planning services. Manage logistics personnel and logistics systems and direct daily operations.",
11-0000.00,11-3000.00,11-3070.00,11-3071.04,Supply Chain Managers,Role,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers","Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",
11-0000.00,11-3000.00,11-3110.00,11-3110.00,Compensation and Benefits Managers,Titled,Management Occupations,Operations Specialties Managers,Broad Group,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, facilities planning and maintenance, custodial operations, and other office support services.",
11-0000.00,11-3000.00,11-3110.00,11-3111.00,Compensation and Benefits Managers,Role,Management Occupations,Operations Specialties Managers,Compensation and Benefits Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, facilities planning and maintenance, custodial operations, and other office support services.",
11-0000.00,11-3000.00,11-3120.00,11-3120.00,Human Resources Managers,Titled,Management Occupations,Operations Specialties Managers,Broad Group,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",
11-0000.00,11-3000.00,11-3120.00,11-3121.00,Human Resources Managers,Role,Management Occupations,Operations Specialties Managers,Human Resources Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",
11-0000.00,11-3000.00,11-3130.00,11-3130.00,Training and Development Managers,Titled,Management Occupations,Operations Specialties Managers,Broad Group,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",
11-0000.00,11-3000.00,11-3130.00,11-3131.00,Training and Development Managers,Role,Management Occupations,Operations Specialties Managers,Training and Development Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",
11-0000.00,11-9000.00,11-9000.00,11-9000.00,Other Management Occupations,Main,Management Occupations,Minor Group,Minor Group,"""Other Management Occupations"" is a broad category that includes managerial roles that do not fall under specific occupational categories. These positions can encompass a wide range of industries and sectors, and the job responsibilities and qualifications can vary significantly depending on the specific occupation within this category.",
11-0000.00,11-9000.00,11-9010.00,11-9010.00,"Farmers, Ranchers, and Other Agricultural Managers",Titled,Management Occupations,Other Management Occupations,Broad Group,"Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",
11-0000.00,11-9000.00,11-9010.00,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Role,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",
11-0000.00,11-9000.00,11-9010.00,11-9013.01,Nursery and Greenhouse Managers,Role,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers","Plan, organize, direct, control, and coordinate activities of workers engaged in propagating, cultivating, and harvesting horticultural specialties, such as trees, shrubs, flowers, mushrooms, and other plants.",
11-0000.00,11-9000.00,11-9010.00,11-9013.02,Farm and Ranch Managers,Role,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, or supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, financial, or marketing activities.",
11-0000.00,11-9000.00,11-9010.00,11-9013.03,Aquacultural Managers,Role,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers","Direct and coordinate, through subordinate supervisory personnel, activities of workers engaged in fish hatchery production for corporations, cooperatives, or other owners.",
11-0000.00,11-9000.00,11-9020.00,11-9020.00,Construction Managers,Titled,Management Occupations,Other Management Occupations,Broad Group,"Plan, direct, coordinate, or budget, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, and implementation.",
11-0000.00,11-9000.00,11-9020.00,11-9021.00,Construction Managers,Role,Management Occupations,Other Management Occupations,Construction Managers,"Plan, direct, coordinate, or budget, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, and implementation.",
11-0000.00,11-9000.00,11-9030.00,11-9030.00,Education Administrators,Titled,Management Occupations,Other Management Occupations,Broad Group,"Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",
11-0000.00,11-9000.00,11-9030.00,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Role,Management Occupations,Other Management Occupations,Education Administrators,"Plan, direct, or coordinate the academic and nonacademic activities of preschool and child care centers or programs.",
11-0000.00,11-9000.00,11-9030.00,11-9032.00,"Education Administrators, Elementary and Secondary School",Role,Management Occupations,Other Management Occupations,Education Administrators,"Plan, direct, or coordinate the academic, clerical, or auxiliary activities of public or private elementary or secondary level schools.",
11-0000.00,11-9000.00,11-9030.00,11-9033.00,"Education Administrators, Postsecondary",Role,Management Occupations,Other Management Occupations,Education Administrators,"Plan, direct, or coordinate research, instructional, student administration and services, and other educational activities at postsecondary institutions, including universities, colleges, and junior and community colleges.",
11-0000.00,11-9000.00,11-9030.00,11-9039.00,"Education Administrators, All Other",Role,Management Occupations,Other Management Occupations,Education Administrators,All education administrators not listed separately.,
11-0000.00,11-9000.00,11-9030.00,11-9039.01,Distance Learning Coordinators,Role,Management Occupations,Other Management Occupations,Education Administrators,Coordinate day-to-day operations of distance learning programs and schedule courses.,
11-0000.00,11-9000.00,11-9030.00,11-9039.02,Fitness and Wellness Coordinators,Role,Management Occupations,Other Management Occupations,Education Administrators,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",
11-0000.00,11-9000.00,11-9040.00,11-9040.00,Architectural and Engineering Managers,Titled,Management Occupations,Other Management Occupations,Broad Group,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",
11-0000.00,11-9000.00,11-9040.00,11-9041.00,Architectural and Engineering Managers,Role,Management Occupations,Other Management Occupations,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",
11-0000.00,11-9000.00,11-9040.00,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Role,Management Occupations,Other Management Occupations,Architectural and Engineering Managers,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",
11-0000.00,11-9000.00,11-9050.00,11-9050.00,Food Service Managers,Titled,Management Occupations,Other Management Occupations,Broad Group,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",
11-0000.00,11-9000.00,11-9050.00,11-9051.00,Food Service Managers,Role,Management Occupations,Other Management Occupations,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",
11-0000.00,11-9000.00,11-9060.00,11-9060.00,Funeral Service Managers,Titled,Management Occupations,Other Management Occupations,Broad Group,"Perform various tasks to arrange and direct funeral services, such as coordinating transportation of body to mortuary for embalming, interviewing family or other authorized person to arrange details, selecting pallbearers, procuring official for religious rites, and providing transportation for mourners.",
11-0000.00,11-9000.00,11-9060.00,11-9061.00,Funeral Service Managers,Role,Management Occupations,Other Management Occupations,Funeral Service Managers,"Perform various tasks to arrange and direct funeral services, such as coordinating transportation of body to mortuary for embalming, interviewing family or other authorized person to arrange details, selecting pallbearers, procuring official for religious rites, and providing transportation for mourners.",
11-0000.00,11-9000.00,11-9070.00,11-9070.00,Gaming Managers,Titled,Management Occupations,Other Management Occupations,Broad Group,"Plan, organize, direct, control, or coordinate gaming operations in a casino.  Formulate gaming policies for their area of responsibility.",
11-0000.00,11-9000.00,11-9070.00,11-9071.00,Gaming Managers,Role,Management Occupations,Other Management Occupations,Gaming Managers,"Plan, organize, direct, control, or coordinate gaming operations in a casino.  Formulate gaming policies for their area of responsibility.",
11-0000.00,11-9000.00,11-9070.00,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Role,Management Occupations,Other Management Occupations,Gaming Managers,"Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",
11-0000.00,11-9000.00,11-9080.00,11-9080.00,Lodging Managers,Titled,Management Occupations,Other Management Occupations,Broad Group,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",
11-0000.00,11-9000.00,11-9080.00,11-9081.00,Lodging Managers,Role,Management Occupations,Other Management Occupations,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",
11-0000.00,11-9000.00,11-9110.00,11-9110.00,Medical and Health Services Managers,Titled,Management Occupations,Other Management Occupations,Broad Group,"Plan, direct, or coordinate medicine and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",
11-0000.00,11-9000.00,11-9110.00,11-9111.00,Medical and Health Services Managers,Role,Management Occupations,Other Management Occupations,Medical and Health Services Managers,"Plan, direct, or coordinate medicine and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",
11-0000.00,11-9000.00,11-9120.00,11-9120.00,Natural Sciences Managers,Titled,Management Occupations,Other Management Occupations,Broad Group,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",
11-0000.00,11-9000.00,11-9120.00,11-9121.00,Natural Sciences Managers,Role,Management Occupations,Other Management Occupations,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",
11-0000.00,11-9000.00,11-9120.00,11-9121.01,Clinical Research Coordinators,Role,Management Occupations,Other Management Occupations,Natural Sciences Managers,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",
11-0000.00,11-9000.00,11-9120.00,11-9121.02,Water Resource Specialists,Role,Management Occupations,Other Management Occupations,Natural Sciences Managers,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",
11-0000.00,11-9000.00,11-9130.00,11-9130.00,Postmasters and Mail Superintendents,Titled,Management Occupations,Other Management Occupations,Broad Group,"Direct and coordinate operational, administrative, management, and supportive services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",
11-0000.00,11-9000.00,11-9130.00,11-9131.00,Postmasters and Mail Superintendents,Role,Management Occupations,Other Management Occupations,Postmasters and Mail Superintendents,"Direct and coordinate operational, administrative, management, and supportive services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",
11-0000.00,11-9000.00,11-9140.00,11-9140.00,"Property, Real Estate, and Community Association Managers",Titled,Management Occupations,Other Management Occupations,Broad Group,"Plan, direct, or coordinate selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties.",
11-0000.00,11-9000.00,11-9140.00,11-9141.00,"Property, Real Estate, and Community Association Managers",Role,Management Occupations,Other Management Occupations,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties.",
11-0000.00,11-9000.00,11-9150.00,11-9150.00,Social and Community Service Managers,Titled,Management Occupations,Other Management Occupations,Broad Group,"Plan, organize, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",
11-0000.00,11-9000.00,11-9150.00,11-9151.00,Social and Community Service Managers,Role,Management Occupations,Other Management Occupations,Social and Community Service Managers,"Plan, organize, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",
11-0000.00,11-9000.00,11-9160.00,11-9160.00,Emergency Management Directors,Titled,Management Occupations,Other Management Occupations,Broad Group,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",
11-0000.00,11-9000.00,11-9160.00,11-9161.00,Emergency Management Directors,Role,Management Occupations,Other Management Occupations,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",
11-0000.00,11-9000.00,11-9170.00,11-9170.00,Personal Service Managers,Titled,Management Occupations,Other Management Occupations,Broad Group,Personal Service Managers is a Broad Occupation level code of the “Management Occupations” Major Occupation Category.,
11-0000.00,11-9000.00,11-9170.00,11-9171.00,Funeral Home Managers,Role,Management Occupations,Other Management Occupations,Personal Service Managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",
11-0000.00,11-9000.00,11-9170.00,11-9179.00,"Personal Service Managers, All Other",Role,Management Occupations,Other Management Occupations,Personal Service Managers,All personal service managers not listed separately.,
11-0000.00,11-9000.00,11-9170.00,11-9179.01,Fitness and Wellness Coordinators,Role,Management Occupations,Other Management Occupations,Personal Service Managers,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",
11-0000.00,11-9000.00,11-9170.00,11-9179.02,Spa Managers,Role,Management Occupations,Other Management Occupations,Personal Service Managers,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",
11-0000.00,11-9000.00,11-9190.00,11-9190.00,Miscellaneous Managers,Titled,Management Occupations,Other Management Occupations,Broad Group,SOC Code 11-9190 - Miscellaneous Managers is a Broad Occupation level code of the “Management Occupations” Major Occupation Category.,
