canonical_id,profile_key,unique_identifier,specific_task_group_title,chapter_title,display_name,theme,strength_index,strength_text
EA-002,personality_profile_2,STG 1.1.1.2,Guileless,The First Test,Guardian of Innocent Truth,Vibratile - Guileless Honesty in Rising Tension,7,embodies vibratile guilelessness - honest responsiveness to rising tension
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,1,conscious choice of determination over defeat
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,2,ability to transform pain into purposeful action
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,3,dedication to mastery through disciplined practice
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,4,resilience built on community support and shared burden
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,5,capacity to integrate trauma without being destroyed by it
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,6,steadfast work ethic that persists through emotional crisis
EA-003,personality_profile_3,STG 1.1.1.3,Vibratile,Determination Through Betrayal,Artisan of Determined Mastery,Vibrant Determination - Crafting Purpose from Pain,7,"embodies vibrant determination—lively, flexible persistence"
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,1,explosive creative responses under pressure
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,2,swift intuitive decision-making in crisis
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,3,courage that emerges when danger strikes
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,4,ability to transform theory into practice instantly
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,5,resourceful adaptation to unprecedented challenges
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,6,quick thinking that bypasses overthinking
EA-004,personality_profile_4,STG 1.1.2.1,Explosive,Explosive Awakening,Herald of Explosive Awakening,Explosive Creativity - Swift Decisive Action,7,"embodies explosive transformation—sudden, forceful, catalytic change"
EA-005,personality_profile_5,STG 1.1.2.2,Implementation,Ownership Through Ego Death,Architect of Humbled Ownership,Ownership - Taking Responsibility After Manipulation,1,capacity for brutal self-honesty
EA-005,personality_profile_5,STG 1.1.2.2,Implementation,Ownership Through Ego Death,Architect of Humbled Ownership,Ownership - Taking Responsibility After Manipulation,2,willingness to take full responsibility for consequences
EA-005,personality_profile_5,STG 1.1.2.2,Implementation,Ownership Through Ego Death,Architect of Humbled Ownership,Ownership - Taking Responsibility After Manipulation,3,intellectual humility learned through failure
EA-005,personality_profile_5,STG 1.1.2.2,Implementation,Ownership Through Ego Death,Architect of Humbled Ownership,Ownership - Taking Responsibility After Manipulation,4,openness to partnership after isolation
EA-005,personality_profile_5,STG 1.1.2.2,Implementation,Ownership Through Ego Death,Architect of Humbled Ownership,Ownership - Taking Responsibility After Manipulation,5,transformation of pride into accountability
EA-005,personality_profile_5,STG 1.1.2.2,Implementation,Ownership Through Ego Death,Architect of Humbled Ownership,Ownership - Taking Responsibility After Manipulation,6,strategic thinking redirected from ego to mission
EA-005,personality_profile_5,STG 1.1.2.2,Implementation,Ownership Through Ego Death,Architect of Humbled Ownership,Ownership - Taking Responsibility After Manipulation,7,embodies ownership—standing behind decisions despite devastating outcomes
EA-006,personality_profile_6,STG 1.1.2.3,Ownership,Dominion Through Decisive Action,Sovereign of Accountable Action,Dominion - Taking Command Through Ownership,1,transforms ownership into decisive leadership
EA-006,personality_profile_6,STG 1.1.2.3,Ownership,Dominion Through Decisive Action,Sovereign of Accountable Action,Dominion - Taking Command Through Ownership,2,balances humility with confident action
EA-006,personality_profile_6,STG 1.1.2.3,Ownership,Dominion Through Decisive Action,Sovereign of Accountable Action,Dominion - Taking Command Through Ownership,3,executes with accountability and transparency
EA-006,personality_profile_6,STG 1.1.2.3,Ownership,Dominion Through Decisive Action,Sovereign of Accountable Action,Dominion - Taking Command Through Ownership,4,takes command while acknowledging limitations
EA-006,personality_profile_6,STG 1.1.2.3,Ownership,Dominion Through Decisive Action,Sovereign of Accountable Action,Dominion - Taking Command Through Ownership,5,converts lessons from failure into strategic advantage
EA-006,personality_profile_6,STG 1.1.2.3,Ownership,Dominion Through Decisive Action,Sovereign of Accountable Action,Dominion - Taking Command Through Ownership,6,embodies dominion—standing behind choices while actively shaping outcomes
EA-006,personality_profile_6,STG 1.1.2.3,Ownership,Dominion Through Decisive Action,Sovereign of Accountable Action,Dominion - Taking Command Through Ownership,7,bridges reflection and execution with integrity
EA-007,personality_profile_7,STG 1.1.3.1,Dominion,Transformation Through Self-Mastery,Disciple of Inner Dominion,Transformation - Mastering Self Through Discipline,1,recognizes need for self-mastery before external action
EA-007,personality_profile_7,STG 1.1.3.1,Dominion,Transformation Through Self-Mastery,Disciple of Inner Dominion,Transformation - Mastering Self Through Discipline,2,embraces disciplined training over immediate gratification
EA-007,personality_profile_7,STG 1.1.3.1,Dominion,Transformation Through Self-Mastery,Disciple of Inner Dominion,Transformation - Mastering Self Through Discipline,3,transforms ego-driven impulses into controlled power
EA-007,personality_profile_7,STG 1.1.3.1,Dominion,Transformation Through Self-Mastery,Disciple of Inner Dominion,Transformation - Mastering Self Through Discipline,4,balances urgency with necessary preparation
EA-007,personality_profile_7,STG 1.1.3.1,Dominion,Transformation Through Self-Mastery,Disciple of Inner Dominion,Transformation - Mastering Self Through Discipline,5,learns from witnessing transformation in others
EA-007,personality_profile_7,STG 1.1.3.1,Dominion,Transformation Through Self-Mastery,Disciple of Inner Dominion,Transformation - Mastering Self Through Discipline,6,embodies dominion through self-control rather than control of others
EA-007,personality_profile_7,STG 1.1.3.1,Dominion,Transformation Through Self-Mastery,Disciple of Inner Dominion,Transformation - Mastering Self Through Discipline,7,converts refusal of premature action into acceptance of growth
EA-008,personality_profile_8,STG 1.1.3.2,Transformation,The Weight of Destiny - Transformation's Shadow Cost,Bearer of Transformation's Burden,Transformation - The Dark Side of Change,1,faces the shadow costs of transformation with courage
EA-008,personality_profile_8,STG 1.1.3.2,Transformation,The Weight of Destiny - Transformation's Shadow Cost,Bearer of Transformation's Burden,Transformation - The Dark Side of Change,2,maintains commitment to growth despite relational casualties
EA-008,personality_profile_8,STG 1.1.3.2,Transformation,The Weight of Destiny - Transformation's Shadow Cost,Bearer of Transformation's Burden,Transformation - The Dark Side of Change,3,navigates guilt without abandoning personal evolution
EA-008,personality_profile_8,STG 1.1.3.2,Transformation,The Weight of Destiny - Transformation's Shadow Cost,Bearer of Transformation's Burden,Transformation - The Dark Side of Change,4,recognizes that love sometimes means letting go
EA-008,personality_profile_8,STG 1.1.3.2,Transformation,The Weight of Destiny - Transformation's Shadow Cost,Bearer of Transformation's Burden,Transformation - The Dark Side of Change,5,integrates painful lessons about change's consequences
EA-008,personality_profile_8,STG 1.1.3.2,Transformation,The Weight of Destiny - Transformation's Shadow Cost,Bearer of Transformation's Burden,Transformation - The Dark Side of Change,6,embodies change management through crisis and loss
EA-008,personality_profile_8,STG 1.1.3.2,Transformation,The Weight of Destiny - Transformation's Shadow Cost,Bearer of Transformation's Burden,Transformation - The Dark Side of Change,7,transforms personal devastation into deeper wisdom
EA-009,personality_profile_9,STG 1.1.3.3,Determination,Forged in Unity - Determination Through Community,Warrior of Collective Resolve,Determination - Finding Strength Through Unity,1,transforms crisis into renewed determination through support
EA-009,personality_profile_9,STG 1.1.3.3,Determination,Forged in Unity - Determination Through Community,Warrior of Collective Resolve,Determination - Finding Strength Through Unity,2,accepts help and vulnerability as sources of strength
EA-009,personality_profile_9,STG 1.1.3.3,Determination,Forged in Unity - Determination Through Community,Warrior of Collective Resolve,Determination - Finding Strength Through Unity,3,maintains mission commitment despite emotional devastation
EA-009,personality_profile_9,STG 1.1.3.3,Determination,Forged in Unity - Determination Through Community,Warrior of Collective Resolve,Determination - Finding Strength Through Unity,4,draws resilience from collective purpose and shared experience
EA-009,personality_profile_9,STG 1.1.3.3,Determination,Forged in Unity - Determination Through Community,Warrior of Collective Resolve,Determination - Finding Strength Through Unity,5,embodies persistence through community rather than isolation
EA-009,personality_profile_9,STG 1.1.3.3,Determination,Forged in Unity - Determination Through Community,Warrior of Collective Resolve,Determination - Finding Strength Through Unity,6,converts doubt into clarity by witnessing others' sacrifices
EA-009,personality_profile_9,STG 1.1.3.3,Determination,Forged in Unity - Determination Through Community,Warrior of Collective Resolve,Determination - Finding Strength Through Unity,7,"demonstrates that determination means continuing, not avoiding pain"
EA-010,personality_profile_10,STG 1.1.4.1,Structure,The Weight of Truth - Structure Through Organized Unity,Architect of Collaborative Systems,Structure - Creating Order Through Organization,1,transforms collective resolve into organized systems
EA-010,personality_profile_10,STG 1.1.4.1,Structure,The Weight of Truth - Structure Through Organized Unity,Architect of Collaborative Systems,Structure - Creating Order Through Organization,2,delegates effectively while maintaining strategic vision
EA-010,personality_profile_10,STG 1.1.4.1,Structure,The Weight of Truth - Structure Through Organized Unity,Architect of Collaborative Systems,Structure - Creating Order Through Organization,3,creates structures that maximize group potential
EA-010,personality_profile_10,STG 1.1.4.1,Structure,The Weight of Truth - Structure Through Organized Unity,Architect of Collaborative Systems,Structure - Creating Order Through Organization,4,synthesizes diverse perspectives into coherent plans
EA-010,personality_profile_10,STG 1.1.4.1,Structure,The Weight of Truth - Structure Through Organized Unity,Architect of Collaborative Systems,Structure - Creating Order Through Organization,5,builds frameworks that balance creativity with accountability
EA-010,personality_profile_10,STG 1.1.4.1,Structure,The Weight of Truth - Structure Through Organized Unity,Architect of Collaborative Systems,Structure - Creating Order Through Organization,6,leads through organization rather than domination
EA-010,personality_profile_10,STG 1.1.4.1,Structure,The Weight of Truth - Structure Through Organized Unity,Architect of Collaborative Systems,Structure - Creating Order Through Organization,7,orchestrates talents to create force greater than sum of parts
EA-011,personality_profile_11,STG 1.1.4.2,Acceptance,Bonds of the Awakened - Acceptance Through Truth,Guardian of Mindful Acceptance,Acceptance - Embracing Reality Without Resistance,1,faces harsh realities with courage and wisdom
EA-011,personality_profile_11,STG 1.1.4.2,Acceptance,Bonds of the Awakened - Acceptance Through Truth,Guardian of Mindful Acceptance,Acceptance - Embracing Reality Without Resistance,2,accepts limitations without abandoning purpose or hope
EA-011,personality_profile_11,STG 1.1.4.2,Acceptance,Bonds of the Awakened - Acceptance Through Truth,Guardian of Mindful Acceptance,Acceptance - Embracing Reality Without Resistance,3,transforms vulnerability into deeper connection and strength
EA-011,personality_profile_11,STG 1.1.4.2,Acceptance,Bonds of the Awakened - Acceptance Through Truth,Guardian of Mindful Acceptance,Acceptance - Embracing Reality Without Resistance,4,maintains mindful presence under extreme pressure
EA-011,personality_profile_11,STG 1.1.4.2,Acceptance,Bonds of the Awakened - Acceptance Through Truth,Guardian of Mindful Acceptance,Acceptance - Embracing Reality Without Resistance,5,distinguishes between helpful acceptance and harmful denial
EA-011,personality_profile_11,STG 1.1.4.2,Acceptance,Bonds of the Awakened - Acceptance Through Truth,Guardian of Mindful Acceptance,Acceptance - Embracing Reality Without Resistance,6,embodies compassionate acknowledgment of self and others
EA-011,personality_profile_11,STG 1.1.4.2,Acceptance,Bonds of the Awakened - Acceptance Through Truth,Guardian of Mindful Acceptance,Acceptance - Embracing Reality Without Resistance,7,builds unity through shared honesty about imperfections
EA-012,personality_profile_12,STG 1.1.4.3,Celebration,The Fool's Threshold - Celebration of Progress,Keeper of Grateful Milestones,Celebration - Honoring Journey Through Appreciation,1,recognizes importance of honoring progress and milestones
EA-012,personality_profile_12,STG 1.1.4.3,Celebration,The Fool's Threshold - Celebration of Progress,Keeper of Grateful Milestones,Celebration - Honoring Journey Through Appreciation,2,cultivates gratitude that energizes rather than stagnates
EA-012,personality_profile_12,STG 1.1.4.3,Celebration,The Fool's Threshold - Celebration of Progress,Keeper of Grateful Milestones,Celebration - Honoring Journey Through Appreciation,3,celebrates modest wins to build momentum
EA-012,personality_profile_12,STG 1.1.4.3,Celebration,The Fool's Threshold - Celebration of Progress,Keeper of Grateful Milestones,Celebration - Honoring Journey Through Appreciation,4,appreciates others' contributions and strengthens bonds
EA-012,personality_profile_12,STG 1.1.4.3,Celebration,The Fool's Threshold - Celebration of Progress,Keeper of Grateful Milestones,Celebration - Honoring Journey Through Appreciation,5,balances acknowledgment of achievement with awareness of journey ahead
EA-012,personality_profile_12,STG 1.1.4.3,Celebration,The Fool's Threshold - Celebration of Progress,Keeper of Grateful Milestones,Celebration - Honoring Journey Through Appreciation,6,uses celebration to reaffirm values and clarify purpose
EA-012,personality_profile_12,STG 1.1.4.3,Celebration,The Fool's Threshold - Celebration of Progress,Keeper of Grateful Milestones,Celebration - Honoring Journey Through Appreciation,7,fosters community spirit through shared appreciation
EA-013,personality_profile_13,MAT 1.1,Potentiality,The Guardian's Test - Crossing Into Potentiality,The Fool at the Threshold,Potentiality - Embracing Limitless Growth,1,embraces unknown with courage and trust
EA-013,personality_profile_13,MAT 1.1,Potentiality,The Guardian's Test - Crossing Into Potentiality,The Fool at the Threshold,Potentiality - Embracing Limitless Growth,2,sees limitless potential where others see limits
EA-013,personality_profile_13,MAT 1.1,Potentiality,The Guardian's Test - Crossing Into Potentiality,The Fool at the Threshold,Potentiality - Embracing Limitless Growth,3,takes calculated risks into uncharted territory
EA-013,personality_profile_13,MAT 1.1,Potentiality,The Guardian's Test - Crossing Into Potentiality,The Fool at the Threshold,Potentiality - Embracing Limitless Growth,4,maintains growth mindset amid uncertainty
EA-013,personality_profile_13,MAT 1.1,Potentiality,The Guardian's Test - Crossing Into Potentiality,The Fool at the Threshold,Potentiality - Embracing Limitless Growth,5,converts imagination into daring action
EA-013,personality_profile_13,MAT 1.1,Potentiality,The Guardian's Test - Crossing Into Potentiality,The Fool at the Threshold,Potentiality - Embracing Limitless Growth,6,welcomes open-ended exploration
EA-013,personality_profile_13,MAT 1.1,Potentiality,The Guardian's Test - Crossing Into Potentiality,The Fool at the Threshold,Potentiality - Embracing Limitless Growth,7,nurtures adaptive learning through experimentation
EA-014,personality_profile_14,STG 1.2.1.1,Breakdown,The Academy of Confidence - Breakdown to Breakthrough,Phoenix Rising from Collapse,Breakdown - Resilience Through Devastation,1,reframes devastation as inflection point
EA-014,personality_profile_14,STG 1.2.1.1,Breakdown,The Academy of Confidence - Breakdown to Breakthrough,Phoenix Rising from Collapse,Breakdown - Resilience Through Devastation,2,cultivates resilience through conscious recovery
EA-014,personality_profile_14,STG 1.2.1.1,Breakdown,The Academy of Confidence - Breakdown to Breakthrough,Phoenix Rising from Collapse,Breakdown - Resilience Through Devastation,3,discovers strength through vulnerability and sacrifice
EA-014,personality_profile_14,STG 1.2.1.1,Breakdown,The Academy of Confidence - Breakdown to Breakthrough,Phoenix Rising from Collapse,Breakdown - Resilience Through Devastation,4,rebuilds with wisdom from collapse
EA-014,personality_profile_14,STG 1.2.1.1,Breakdown,The Academy of Confidence - Breakdown to Breakthrough,Phoenix Rising from Collapse,Breakdown - Resilience Through Devastation,5,transforms breakdown into breakthrough
EA-014,personality_profile_14,STG 1.2.1.1,Breakdown,The Academy of Confidence - Breakdown to Breakthrough,Phoenix Rising from Collapse,Breakdown - Resilience Through Devastation,6,forges deeper bonds through shared suffering
EA-014,personality_profile_14,STG 1.2.1.1,Breakdown,The Academy of Confidence - Breakdown to Breakthrough,Phoenix Rising from Collapse,Breakdown - Resilience Through Devastation,7,accepts help when structures fail
EA-015,personality_profile_15,STG 1.2.1.2,Confidence,The Council of Voices - Rising to Authentic Leadership,The Warrior's Inner Light,Confidence - Leading From Within,1,projects authentic confidence that inspires others
EA-015,personality_profile_15,STG 1.2.1.2,Confidence,The Council of Voices - Rising to Authentic Leadership,The Warrior's Inner Light,Confidence - Leading From Within,2,leads through vulnerable honesty rather than false bravado
EA-015,personality_profile_15,STG 1.2.1.2,Confidence,The Council of Voices - Rising to Authentic Leadership,The Warrior's Inner Light,Confidence - Leading From Within,3,maintains self-trust even after devastating failure
EA-015,personality_profile_15,STG 1.2.1.2,Confidence,The Council of Voices - Rising to Authentic Leadership,The Warrior's Inner Light,Confidence - Leading From Within,4,converts internal validation into visible leadership
EA-015,personality_profile_15,STG 1.2.1.2,Confidence,The Council of Voices - Rising to Authentic Leadership,The Warrior's Inner Light,Confidence - Leading From Within,5,communicates clarity and purpose amid uncertainty
EA-015,personality_profile_15,STG 1.2.1.2,Confidence,The Council of Voices - Rising to Authentic Leadership,The Warrior's Inner Light,Confidence - Leading From Within,6,rallies allies through genuine presence
EA-015,personality_profile_15,STG 1.2.1.2,Confidence,The Council of Voices - Rising to Authentic Leadership,The Warrior's Inner Light,Confidence - Leading From Within,7,demonstrates courage by showing up authentically
EA-016,personality_profile_16,STG 1.2.1.3,Assertiveness,The Vault of Infinite Resources - Speaking Truth With Clarity,The Voice of Clear Truth,Assertiveness - Clarity Through Authentic Communication,1,communicates needs and boundaries with clarity and respect
EA-016,personality_profile_16,STG 1.2.1.3,Assertiveness,The Vault of Infinite Resources - Speaking Truth With Clarity,The Voice of Clear Truth,Assertiveness - Clarity Through Authentic Communication,2,distinguishes assertiveness from aggression or passivity
EA-016,personality_profile_16,STG 1.2.1.3,Assertiveness,The Vault of Infinite Resources - Speaking Truth With Clarity,The Voice of Clear Truth,Assertiveness - Clarity Through Authentic Communication,3,resolves conflicts through transparent dialogue
EA-016,personality_profile_16,STG 1.2.1.3,Assertiveness,The Vault of Infinite Resources - Speaking Truth With Clarity,The Voice of Clear Truth,Assertiveness - Clarity Through Authentic Communication,4,"builds trust through authentic, precise communication"
EA-016,personality_profile_16,STG 1.2.1.3,Assertiveness,The Vault of Infinite Resources - Speaking Truth With Clarity,The Voice of Clear Truth,Assertiveness - Clarity Through Authentic Communication,5,listens with genuine intent while advocating for self
EA-016,personality_profile_16,STG 1.2.1.3,Assertiveness,The Vault of Infinite Resources - Speaking Truth With Clarity,The Voice of Clear Truth,Assertiveness - Clarity Through Authentic Communication,6,creates collaborative solutions through clear articulation
EA-016,personality_profile_16,STG 1.2.1.3,Assertiveness,The Vault of Infinite Resources - Speaking Truth With Clarity,The Voice of Clear Truth,Assertiveness - Clarity Through Authentic Communication,7,maintains emotional safety in high-stakes conversations
EA-017,personality_profile_17,STG 1.2.2.1,Abundance‑Minded,The Sanctuary of Harmonized Being - Cultivating Prosperity,The Gardener of Plenty,Abundance - From Scarcity to Prosperity Consciousness,1,cultivates prosperity through generous collaboration
EA-017,personality_profile_17,STG 1.2.2.1,Abundance‑Minded,The Sanctuary of Harmonized Being - Cultivating Prosperity,The Gardener of Plenty,Abundance - From Scarcity to Prosperity Consciousness,2,shifts from scarcity to abundance consciousness
EA-017,personality_profile_17,STG 1.2.2.1,Abundance‑Minded,The Sanctuary of Harmonized Being - Cultivating Prosperity,The Gardener of Plenty,Abundance - From Scarcity to Prosperity Consciousness,3,practices stewardship over hoarding
EA-017,personality_profile_17,STG 1.2.2.1,Abundance‑Minded,The Sanctuary of Harmonized Being - Cultivating Prosperity,The Gardener of Plenty,Abundance - From Scarcity to Prosperity Consciousness,4,creates regenerative cycles of opportunity
EA-017,personality_profile_17,STG 1.2.2.1,Abundance‑Minded,The Sanctuary of Harmonized Being - Cultivating Prosperity,The Gardener of Plenty,Abundance - From Scarcity to Prosperity Consciousness,5,balances material success with spiritual values
EA-017,personality_profile_17,STG 1.2.2.1,Abundance‑Minded,The Sanctuary of Harmonized Being - Cultivating Prosperity,The Gardener of Plenty,Abundance - From Scarcity to Prosperity Consciousness,6,shares resources strategically for collective growth
EA-017,personality_profile_17,STG 1.2.2.1,Abundance‑Minded,The Sanctuary of Harmonized Being - Cultivating Prosperity,The Gardener of Plenty,Abundance - From Scarcity to Prosperity Consciousness,7,maintains gratitude amid increasing prosperity
EA-018,personality_profile_18,STG 1.2.2.2,Well‑Being,The Forge of Manifestation - Cultivating Holistic Vitality,The Master of Integrated Wellness,"Well-Being - Body, Mind, and Spirit in Harmony",1,"integrates physical, mental, emotional, and spiritual health"
EA-018,personality_profile_18,STG 1.2.2.2,Well‑Being,The Forge of Manifestation - Cultivating Holistic Vitality,The Master of Integrated Wellness,"Well-Being - Body, Mind, and Spirit in Harmony",2,proactively nurtures all dimensions of well-being
EA-018,personality_profile_18,STG 1.2.2.2,Well‑Being,The Forge of Manifestation - Cultivating Holistic Vitality,The Master of Integrated Wellness,"Well-Being - Body, Mind, and Spirit in Harmony",3,recognizes health as foundation for sustained performance
EA-018,personality_profile_18,STG 1.2.2.2,Well‑Being,The Forge of Manifestation - Cultivating Holistic Vitality,The Master of Integrated Wellness,"Well-Being - Body, Mind, and Spirit in Harmony",4,balances striving with rest and recovery
EA-018,personality_profile_18,STG 1.2.2.2,Well‑Being,The Forge of Manifestation - Cultivating Holistic Vitality,The Master of Integrated Wellness,"Well-Being - Body, Mind, and Spirit in Harmony",5,maintains vitality through holistic practices
EA-018,personality_profile_18,STG 1.2.2.2,Well‑Being,The Forge of Manifestation - Cultivating Holistic Vitality,The Master of Integrated Wellness,"Well-Being - Body, Mind, and Spirit in Harmony",6,creates sustainable wellness routines not crash programs
EA-018,personality_profile_18,STG 1.2.2.2,Well‑Being,The Forge of Manifestation - Cultivating Holistic Vitality,The Master of Integrated Wellness,"Well-Being - Body, Mind, and Spirit in Harmony",7,understands well-being as preparation not luxury
EA-019,personality_profile_19,STG 1.2.2.3,Manifesting‑Force,The Trial of Echoing Temptations - Manifesting Creative Force,The Apprentice of Manifestation,Creativity - Transforming Vision Into Reality,1,transforms abstract vision into concrete reality
EA-019,personality_profile_19,STG 1.2.2.3,Manifesting‑Force,The Trial of Echoing Temptations - Manifesting Creative Force,The Apprentice of Manifestation,Creativity - Transforming Vision Into Reality,2,channels imagination into practical prototypes
EA-019,personality_profile_19,STG 1.2.2.3,Manifesting‑Force,The Trial of Echoing Temptations - Manifesting Creative Force,The Apprentice of Manifestation,Creativity - Transforming Vision Into Reality,3,iterates persistently through creative experimentation
EA-019,personality_profile_19,STG 1.2.2.3,Manifesting‑Force,The Trial of Echoing Temptations - Manifesting Creative Force,The Apprentice of Manifestation,Creativity - Transforming Vision Into Reality,4,disciplines creative force through methodical action
EA-019,personality_profile_19,STG 1.2.2.3,Manifesting‑Force,The Trial of Echoing Temptations - Manifesting Creative Force,The Apprentice of Manifestation,Creativity - Transforming Vision Into Reality,5,manifests innovative solutions under pressure
EA-019,personality_profile_19,STG 1.2.2.3,Manifesting‑Force,The Trial of Echoing Temptations - Manifesting Creative Force,The Apprentice of Manifestation,Creativity - Transforming Vision Into Reality,6,combines artistic inspiration with technical execution
EA-019,personality_profile_19,STG 1.2.2.3,Manifesting‑Force,The Trial of Echoing Temptations - Manifesting Creative Force,The Apprentice of Manifestation,Creativity - Transforming Vision Into Reality,7,creates tangible value from intangible ideas
EA-020,personality_profile_20,STG 1.2.3.1,Stability,The Forge of Perseverance - Leading Through Turbulence,The Anchor in the Storm,Stability - Grounded Leadership Through Upheaval,1,maintains composure and clarity under extreme pressure
EA-020,personality_profile_20,STG 1.2.3.1,Stability,The Forge of Perseverance - Leading Through Turbulence,The Anchor in the Storm,Stability - Grounded Leadership Through Upheaval,2,provides stable presence that anchors others
EA-020,personality_profile_20,STG 1.2.3.1,Stability,The Forge of Perseverance - Leading Through Turbulence,The Anchor in the Storm,Stability - Grounded Leadership Through Upheaval,3,balances steadfast principles with adaptive tactics
EA-020,personality_profile_20,STG 1.2.3.1,Stability,The Forge of Perseverance - Leading Through Turbulence,The Anchor in the Storm,Stability - Grounded Leadership Through Upheaval,4,models resilience through visible composure
EA-020,personality_profile_20,STG 1.2.3.1,Stability,The Forge of Perseverance - Leading Through Turbulence,The Anchor in the Storm,Stability - Grounded Leadership Through Upheaval,5,clarifies roles and vision amid confusion
EA-020,personality_profile_20,STG 1.2.3.1,Stability,The Forge of Perseverance - Leading Through Turbulence,The Anchor in the Storm,Stability - Grounded Leadership Through Upheaval,6,cultivates collective confidence through personal steadiness
EA-020,personality_profile_20,STG 1.2.3.1,Stability,The Forge of Perseverance - Leading Through Turbulence,The Anchor in the Storm,Stability - Grounded Leadership Through Upheaval,7,leads by example rather than just instruction
EA-021,personality_profile_21,STG 1.2.3.2,Perseverance,The Treasury of Infinite Choices - Strategic Perseverance,The Patient Cultivator,Perseverance - Long-Term Resilience Through Strategic Patience,1,sustains effort strategically over extended timeframes
EA-021,personality_profile_21,STG 1.2.3.2,Perseverance,The Treasury of Infinite Choices - Strategic Perseverance,The Patient Cultivator,Perseverance - Long-Term Resilience Through Strategic Patience,2,distinguishes productive perseverance from wasteful persistence
EA-021,personality_profile_21,STG 1.2.3.2,Perseverance,The Treasury of Infinite Choices - Strategic Perseverance,The Patient Cultivator,Perseverance - Long-Term Resilience Through Strategic Patience,3,evaluates progress objectively to optimize resource allocation
